# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
chong gou 	重构	c=5 d=3.61449 t=5530
chong ming ming 	重命名	c=1 d=0.995012 t=5530
chong qi le 	重启了	c=1 d=0.960789 t=5530
chong shi 	重试	c=10 d=4.21307 t=5530
chong tu 	冲突	c=1 d=0.882497 t=5530
chong xin 	重新	c=7 d=1.79729 t=5530
chou chou 	瞅瞅	c=1 d=0.960789 t=5530
chu 	出	c=3 d=0.888722 t=5530
chu bu lai 	出不来	c=2 d=1.79671 t=5530
chu cuo 	出错	c=1 d=0.514274 t=5530
chu cuo lv 	出错率	c=1 d=0.774916 t=5530
chu fa 	触发	c=2 d=0.895834 t=5530
chu lai 	出来	c=7 d=3.42128 t=5530
chu le 	除了	c=1 d=0.960789 t=5530
chu li 	处理	c=5 d=1.61965 t=5530
chu qu 	出去	c=1 d=0.965605 t=5530
chu shi hua 	初始化	c=1 d=0.307279 t=5530
chu xian 	出现	c=1 d=0.946485 t=5530
chu yu 	处于	c=1 d=0.744532 t=5530
chuan 	传	c=1 d=0.937067 t=5530
chuan di 	传递	c=1 d=0.802519 t=5530
chuan gei 	传给	c=1 d=0.559898 t=5530
chuan ru 	传入	c=3 d=1.55422 t=5530
chuang jian 	创建	c=5 d=0.904837 t=5530
chuang kou 	窗口	c=4 d=1.71828 t=5530
chui chui 	吹吹	c=1 d=0.970446 t=5530
chun cui 	纯粹	c=1 d=0.900325 t=5530
ci pan 	磁盘	c=1 d=0.83527 t=5530
cong 	从	c=8 d=1.6131 t=5530
cun fang 	存放	c=1 d=0.194952 t=5530
cun zai 	存在	c=1 d=0.554327 t=5530
cuo 	错	c=0 d=0.0985112 t=5530
cuo wu 	错误	c=27 d=7.78217 t=5530
cuo wu ma 	错误码	c=2 d=0.722527 t=5530
da 	大	c=2 d=0.951229 t=5530
da 	打	c=3 d=1.40261 t=5530
da bao 	打包	c=1 d=0.941765 t=5530
da bu kai 	打不开	c=2 d=1.20988 t=5530
da cha bu cha 	大差不差	c=1 d=0.718924 t=5530
da gai 	大概	c=1 d=0.900325 t=5530
da gai lv 	大概率	c=2 d=0.359156 t=5530
da ge 	大哥	c=10 d=3.65029 t=5530
da ge 	打个	c=1 d=0.965605 t=5530
da guo lai 	打过来	c=1 d=0.904837 t=5530
da guo qu 	打过去	c=1 d=0.631284 t=5530
da hao 	大号	c=1 d=1 t=5530
